ano,mes,sigla_uf,regiao,id_municipio,municipio,cnae_divisao,ocupacao,faixa_etaria,faixa_remuneracao_media_sm,sexo,idade,raca_cor,grau_instrucao,qtd_vinculos,remuneracao_media,idade_media
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,99,Feminino,50,Parda,Médio Completo,1,0.0,50.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,4,99,Feminino,29,Preta,Superior Completo,1,0.0,29.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Técnico/Auxiliar de Enfermagem,6,4,Feminino,41,Parda,Médio Completo,1,2646.93,41.0
2024,1,AC,Norte,1200385,Plácido de Castro,84,Enfermeiro,5,6,Feminino,30,Parda,Superior Completo,1,5039.95,30.0
2024,1,AC,Norte,1200450,Senador Guiomard,84,Técnico/Auxiliar de Enfermagem,7,7,Feminino,56,Não identificada,Médio Completo,1,7040.71,56.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,99,Feminino,34,Parda,Superior Completo,1,0.0,34.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,6,Feminino,35,Branca,Superior Completo,1,5613.27,35.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,6,Feminino,27,Parda,Superior Completo,1,4508.19,27.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,6,7,Masculino,47,Parda,Superior Completo,2,5881.1100000000006,47.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,63,Branca,Médio Completo,1,3791.53,63.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,4,Feminino,45,Parda,Médio Completo,1,2713.29,45.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Técnico/Auxiliar de Enfermagem,7,99,Feminino,53,Não identificada,Médio Completo,1,0.0,53.0
2024,1,AC,Norte,1200104,Brasiléia,86,Técnico/Auxiliar de Enfermagem,5,5,Masculino,32,Não identificada,Médio Completo,1,3096.46,32.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,6,Feminino,43,Parda,Superior Completo,1,4866.74,43.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,5,Masculino,48,Parda,Superior Completo,1,3791.9,48.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,51,Não identificada,Superior Completo,1,3701.96,51.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Feminino,47,Não identificada,Superior Completo,1,6764.65,47.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,7,6,Feminino,62,Amarela,Superior Completo,1,5547.09,62.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,8,Feminino,32,Parda,Mestrado,1,8600.47,32.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,99,Feminino,49,Parda,Médio Completo,1,0.0,49.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,5,6,Feminino,37,Parda,Médio Completo,1,4411.18,37.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,5,3,Masculino,39,Parda,Médio Completo,1,1946.02,39.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,8,99,Masculino,67,Parda,Superior Completo,1,0.0,67.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Técnico/Auxiliar de Enfermagem,6,4,Masculino,40,Parda,Médio Completo,1,2142.6,40.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,3,5,Feminino,22,Parda,Médio Completo,1,3361.24,22.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Enfermeiro,6,6,Feminino,49,Parda,Superior Completo,1,4402.07,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,99,Feminino,35,Parda,Superior Completo,1,0.0,35.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,5,5,Feminino,30,Parda,Médio Completo,7,3700.5914285714289,30.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,38,Parda,Superior Completo,1,4112.96,38.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,9,Feminino,56,Branca,Superior Completo,2,11265.849999999999,56.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,4,3,Masculino,27,Parda,Superior Completo,2,1743.0500000000002,27.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,3,Masculino,27,Preta,Superior Completo,1,1803.85,27.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,6,5,Feminino,47,Parda,Médio Completo,6,3256.1366666666668,47.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,7,Feminino,28,Parda,Superior Completo,2,6321.645,28.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,99,Feminino,49,Não identificada,Até 5ª Incompleto,1,0.0,49.0
2024,1,AC,Norte,1200252,Epitaciolândia,84,Enfermeiro,6,7,Feminino,43,Parda,Superior Completo,1,5700.0,43.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,5,2,Masculino,37,Branca,Superior Completo,1,1149.58,37.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,6,6,Feminino,42,Parda,Superior Completo,2,5500.1749999999993,42.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Técnico/Auxiliar de Enfermagem,6,6,Masculino,47,Parda,Médio Completo,1,4442.9,47.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,6,Masculino,45,Parda,Superior Completo,1,5251.19,45.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,6,8,Feminino,45,Amarela,Superior Completo,1,7230.25,45.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Enfermeiro,5,6,Feminino,35,Parda,Superior Completo,3,4711.2566666666662,35.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,8,Masculino,32,Parda,Superior Completo,1,7099.67,32.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,6,Feminino,57,Parda,Superior Completo,2,5127.4400000000005,57.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,6,Masculino,46,Parda,Superior Completo,2,5491.625,46.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,5,Feminino,40,Amarela,Médio Incompleto,1,3894.2,40.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,8,Feminino,60,Branca,Superior Completo,2,7651.01,60.0
2024,1,AC,Norte,1200393,Porto Walter,84,Técnico/Auxiliar de Enfermagem,7,5,Masculino,58,Parda,Médio Completo,1,3428.04,58.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Técnico/Auxiliar de Enfermagem,6,5,Masculino,47,Parda,Médio Completo,1,4023.25,47.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,6,Feminino,58,Parda,Superior Completo,2,5218.1,58.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,5,4,Feminino,34,Parda,Médio Completo,1,2160.92,34.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,8,Feminino,38,Branca,Superior Completo,3,7603.01,38.0
2024,1,AC,Norte,1200708,Xapuri,84,Técnico/Auxiliar de Enfermagem,6,6,Masculino,46,Não identificada,Médio Completo,1,5513.14,46.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,4,6,Feminino,28,Não identificada,Médio Completo,1,4635.66,28.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,99,Feminino,35,Branca,Médio Completo,1,0.0,35.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,6,3,Feminino,41,Parda,Médio Completo,1,2014.89,41.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Masculino,49,Branca,Superior Completo,1,6534.42,49.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,7,Masculino,25,Parda,Superior Completo,1,6726.87,25.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,4,4,Masculino,27,Parda,Superior Completo,1,2784.39,27.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,6,Feminino,47,Parda,Médio Completo,2,4503.75,47.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Masculino,54,Não identificada,Médio Completo,3,3618.59,54.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,3,6,Masculino,24,Não identificada,Médio Completo,1,4630.82,24.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,6,Feminino,55,Parda,Médio Incompleto,1,4684.07,55.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,7,Feminino,42,Não identificada,Médio Completo,1,6902.15,42.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,8,Feminino,34,Branca,Superior Completo,2,7560.4400000000005,34.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,7,Masculino,36,Não identificada,Superior Completo,1,6367.27,36.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,4,Feminino,41,Parda,Médio Completo,2,2450.92,41.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Técnico/Auxiliar de Enfermagem,6,5,Masculino,43,Parda,Superior Completo,1,3929.96,43.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,7,Feminino,56,Parda,Superior Completo,1,6040.34,56.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,31,Não identificada,Médio Completo,1,3587.59,31.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,99,Feminino,48,Não identificada,Superior Completo,1,0.0,48.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,8,5,Masculino,67,Não identificada,Superior Completo,1,3614.55,67.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Enfermeiro,4,7,Feminino,27,Parda,Superior Completo,1,5673.16,27.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,99,Masculino,34,Parda,Médio Completo,1,0.0,34.0
2024,1,AC,Norte,1200401,Rio Branco,87,Enfermeiro,4,6,Feminino,27,Não identificada,Superior Completo,2,4785.665,27.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,6,Feminino,46,Parda,Superior Completo,1,4590.62,46.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,5,7,Feminino,32,Parda,Superior Completo,4,5931.8325,32.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Enfermeiro,6,5,Feminino,44,Branca,Superior Completo,1,3547.9,44.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,7,Feminino,57,Branca,Superior Completo,2,6534.665,57.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,8,7,Feminino,67,Parda,Médio Completo,1,6027.13,67.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Enfermeiro,6,99,Masculino,49,Parda,Superior Completo,1,0.0,49.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Técnico/Auxiliar de Enfermagem,4,5,Feminino,28,Branca,Superior Completo,1,3439.85,28.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,5,8,Feminino,37,Branca,Superior Completo,1,7992.69,37.0
2024,1,AC,Norte,1200401,Rio Branco,87,Técnico/Auxiliar de Enfermagem,5,5,Feminino,31,Parda,Médio Completo,2,3155.3599999999997,31.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,6,5,Feminino,43,Amarela,Médio Completo,1,3322.34,43.0
2024,1,AC,Norte,1200385,Plácido de Castro,84,Técnico/Auxiliar de Enfermagem,6,5,Feminino,46,Parda,Superior Completo,1,3305.13,46.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,8,Feminino,64,Não identificada,Superior Completo,2,8498.45,64.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,6,Feminino,47,Preta,Superior Completo,2,4525.375,47.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,5,4,Feminino,36,Parda,Médio Completo,1,2617.34,36.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Enfermeiro,5,6,Masculino,32,Parda,Superior Completo,2,5025.145,32.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Técnico/Auxiliar de Enfermagem,5,3,Feminino,33,Branca,Superior Completo,1,2066.79,33.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,3,Feminino,49,Não identificada,Médio Completo,1,1438.15,49.0
2024,1,AC,Norte,1200401,Rio Branco,87,Técnico/Auxiliar de Enfermagem,4,5,Masculino,29,Parda,Superior Completo,1,2824.7,29.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,4,Feminino,42,Não identificada,Médio Completo,1,2589.44,42.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,4,4,Feminino,29,Parda,Médio Completo,1,2423.02,29.0
2024,1,AC,Norte,1200401,Rio Branco,81,Técnico/Auxiliar de Enfermagem,4,5,Masculino,25,Parda,Médio Completo,1,3968.38,25.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,5,Feminino,60,Parda,Superior Completo,1,3622.99,60.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,6,3,Feminino,41,Parda,Superior Completo,1,2006.66,41.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,6,Feminino,59,Parda,Superior Completo,1,4560.55,59.0
2024,1,AC,Norte,1200500,Sena Madureira,84,Técnico/Auxiliar de Enfermagem,7,6,Feminino,50,Branca,Superior Completo,1,5224.37,50.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,55,Não identificada,6ª a 9ª Fundamental,1,3366.67,55.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,3,5,Feminino,23,Parda,Médio Completo,1,3427.75,23.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Feminino,42,Branca,Mestrado,1,6603.72,42.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,99,Feminino,54,Amarela,Superior Completo,1,0.0,54.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Enfermeiro,7,7,Feminino,53,Não identificada,Superior Completo,1,5828.03,53.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,8,5,Feminino,70,Branca,Médio Completo,1,3365.2,70.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,6,Masculino,53,Parda,Superior Completo,1,5111.85,53.0
2024,1,AC,Norte,1200401,Rio Branco,47,Técnico/Auxiliar de Enfermagem,6,2,Masculino,46,Parda,Até 5ª Incompleto,1,1412.0,46.0
2024,1,AC,Norte,1200708,Xapuri,84,Técnico/Auxiliar de Enfermagem,6,7,Masculino,45,Não identificada,Médio Completo,1,5852.17,45.0
2024,1,AC,Norte,1200450,Senador Guiomard,84,Enfermeiro,5,6,Feminino,32,Branca,Superior Completo,1,4868.22,32.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Técnico/Auxiliar de Enfermagem,4,5,Masculino,27,Preta,Médio Completo,1,3429.85,27.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,4,Feminino,47,Branca,Médio Completo,1,2506.51,47.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,6,Feminino,49,Parda,Médio Completo,1,4896.91,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,6,Feminino,50,Branca,Médio Completo,1,4589.97,50.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,4,Masculino,50,Parda,Superior Completo,1,2535.1,50.0
2024,1,AC,Norte,1200708,Xapuri,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,33,Parda,Médio Completo,1,4235.19,33.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,6,6,Masculino,45,Preta,Superior Completo,1,5172.19,45.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,3,Feminino,27,Parda,Superior Completo,1,2076.8,27.0
2024,1,AC,Norte,1200450,Senador Guiomard,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,53,Preta,Médio Completo,1,3759.16,53.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,5,5,Masculino,36,Parda,Médio Completo,4,3334.7775,36.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,3,6,Feminino,24,Parda,Superior Completo,2,4686.175,24.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,58,Branca,Superior Incompleto,1,3637.08,58.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,5,3,Masculino,30,Branca,Superior Completo,1,1740.69,30.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Enfermeiro,4,5,Feminino,26,Não identificada,Superior Completo,1,4228.6,26.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,6,5,Masculino,40,Parda,Médio Completo,3,3304.4466666666667,40.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,37,Não identificada,Médio Completo,3,3495.58,37.0
2024,1,AC,Norte,1200138,Bujari,84,Técnico/Auxiliar de Enfermagem,6,4,Feminino,40,Parda,Médio Completo,1,2670.71,40.0
2024,1,AC,Norte,1200500,Sena Madureira,84,Técnico/Auxiliar de Enfermagem,6,99,Masculino,49,Parda,Superior Completo,1,0.0,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,6,Masculino,51,Parda,Médio Completo,2,4501.5,51.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,5,Feminino,49,Não identificada,Médio Completo,2,3741.705,49.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,84,Enfermeiro,6,5,Feminino,40,Parda,Superior Completo,1,3265.5,40.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,7,5,Masculino,64,Parda,Médio Completo,1,3246.0,64.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,5,5,Feminino,33,Parda,Médio Completo,8,3596.2912499999998,33.0
2024,1,AC,Norte,1200302,Feijó,86,Técnico/Auxiliar de Enfermagem,6,6,Masculino,42,Parda,Médio Completo,1,4369.83,42.0
2024,1,AC,Norte,1200401,Rio Branco,87,Técnico/Auxiliar de Enfermagem,3,5,Feminino,24,Parda,Superior Completo,1,2864.51,24.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,6,Feminino,34,Branca,Superior Completo,1,4299.79,34.0
2024,1,AC,Norte,1200252,Epitaciolândia,84,Enfermeiro,6,7,Feminino,49,Não identificada,Superior Completo,1,6435.09,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,8,Masculino,48,Branca,Superior Completo,1,7777.3,48.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,4,Masculino,45,Não identificada,Médio Completo,1,2804.2,45.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Feminino,40,Não identificada,Superior Completo,2,6293.7350000000006,40.0
2024,1,AC,Norte,1200401,Rio Branco,85,Técnico/Auxiliar de Enfermagem,6,7,Masculino,44,Parda,Superior Completo,1,6213.68,44.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Masculino,40,Parda,Superior Completo,4,6273.3425,40.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,4,4,Feminino,29,Parda,Médio Completo,1,2532.16,29.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Feminino,43,Parda,Superior Completo,4,6561.4475,43.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,5,Feminino,43,Parda,Superior Completo,3,3536.0566666666668,43.0
2024,1,AC,Norte,1200336,Mâncio Lima,84,Técnico/Auxiliar de Enfermagem,6,5,Masculino,49,Parda,Superior Completo,1,3061.37,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,99,Feminino,49,Parda,Superior Completo,2,0.0,49.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,7,Feminino,44,Parda,Superior Completo,3,6262.05,44.0
2024,1,AC,Norte,1200385,Plácido de Castro,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,51,Parda,Superior Incompleto,1,3635.13,51.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,4,99,Feminino,26,Parda,Superior Completo,1,0.0,26.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,3,Feminino,28,Não identificada,Superior Completo,1,2110.11,28.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,61,Não identificada,Médio Completo,3,3884.2900000000004,61.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,55,Não identificada,Médio Completo,2,3764.54,55.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,4,4,Feminino,25,Parda,Superior Completo,2,2686.045,25.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Enfermeiro,4,6,Feminino,26,Preta,Superior Completo,1,5434.7,26.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,5,Feminino,44,Preta,Médio Completo,1,3345.48,44.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,5,Feminino,55,Parda,Médio Completo,3,3422.79,55.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,99,Masculino,47,Branca,Superior Completo,1,0.0,47.0
2024,1,AC,Norte,1200708,Xapuri,84,Enfermeiro,4,7,Feminino,28,Parda,Superior Completo,1,6919.16,28.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,6,8,Feminino,42,Parda,Superior Completo,5,7999.5239999999994,42.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,6,Feminino,38,Parda,Superior Completo,2,5533.895,38.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,87,Técnico/Auxiliar de Enfermagem,5,5,Masculino,30,Parda,Médio Completo,1,3018.4,30.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,6,6,Masculino,44,Parda,Médio Completo,1,4585.76,44.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,4,Feminino,33,Não identificada,Médio Completo,1,2428.42,33.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,7,99,Feminino,54,Parda,Médio Completo,2,2087.745,54.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,99,Feminino,50,Não identificada,Médio Completo,2,0.0,50.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,7,Masculino,36,Parda,Superior Completo,4,6581.76,36.0
2024,1,AC,Norte,1200401,Rio Branco,46,Enfermeiro,4,5,Feminino,27,Parda,Superior Completo,1,3948.33,27.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,5,8,Feminino,34,Amarela,Superior Completo,1,8183.72,34.0
2024,1,AC,Norte,1200807,Porto Acre,84,Técnico/Auxiliar de Enfermagem,6,5,Feminino,43,Parda,Médio Completo,1,2981.41,43.0
2024,1,AC,Norte,1200427,Rodrigues Alves,84,Enfermeiro,4,99,Feminino,29,Não identificada,Superior Completo,1,0.0,29.0
